,DESTINATION_AIRPORT,AIRLINE,FLIGHT_COUNT_DESTINATION,AVERAGE_ARRIVAL_DELAY,parents_destination
284,CVG,F9,2015,16.436724565756823,Airports
285,CVG,MQ,4663,6.629423118164272,Airports
286,CVG,OO,4048,10.920207509881424,Airports
287,CVG,UA,3,17.666666666666668,Airports
288,CWA,EV,593,12.387858347386173,Airports
289,CWA,MQ,707,5.244695898161245,Airports
290,CWA,OO,60,4.6,Airports
291,DAB,DL,1482,1.8535762483130904,Airports
292,DAB,EV,2,41.0,Airports
293,DAB,US,5,44.0,Airports
294,DAL,DL,1420,-4.711971830985916,Airports
295,DAL,EV,517,2.272727272727273,Airports
296,DAL,OO,4,31.25,Airports
297,DAL,VX,4958,3.4126663977410248,Airports
298,DAL,WN,51706,4.391057130700499,Airports
299,DAY,AA,905,2.5734806629834255,Airports
300,DAY,DL,1306,2.5704441041347628,Airports
301,DAY,EV,1724,5.9854988399071924,Airports
302,DAY,MQ,1553,5.405666452028332,Airports
303,DAY,OO,1427,6.420462508759636,Airports
304,DAY,WN,1468,9.307220708446867,Airports
305,DBQ,MQ,867,3.374855824682814,Airports
306,DCA,AA,17426,4.066739354986801,Airports
307,DCA,AS,1323,-5.462585034013605,Airports
308,DCA,B6,9345,4.82011771000535,Airports
309,DCA,DL,8488,2.953699340245052,Airports
310,DCA,EV,2787,3.8249013275923933,Airports
311,DCA,F9,980,6.833673469387755,Airports
312,DCA,MQ,649,10.2095531587057,Airports
313,DCA,OO,1461,11.290896646132786,Airports
314,DCA,UA,4511,6.8310795832409665,Airports
315,DCA,US,9659,5.2045760430686405,Airports
316,DCA,VX,1215,5.626337448559671,Airports
317,DCA,WN,13769,2.0585372939211273,Airports
318,DEN,AA,6987,6.335909546300272,Airports
319,DEN,AS,1585,0.1331230283911672,Airports
320,DEN,B6,944,6.9375,Airports
321,DEN,DL,7049,-0.4501347708894879,Airports
322,DEN,EV,5306,3.7638522427440635,Airports
323,DEN,F9,21054,12.67108387954783,Airports
324,DEN,NK,3612,14.477574750830565,Airports
325,DEN,OO,43349,5.886156543403539,Airports
326,DEN,UA,45772,5.062571004107315,Airports
327,DEN,US,2304,6.983506944444445,Airports
328,DEN,WN,55071,1.6578961703982131,Airports
329,DFW,AA,130722,3.571135692538364,Airports
330,DFW,AS,1342,-1.4239940387481371,Airports
331,DFW,B6,584,1.1027397260273972,Airports
332,DFW,DL,5061,-0.6401896858328393,Airports
333,DFW,EV,23236,10.601695644689276,Airports
334,DFW,F9,1278,11.0962441314554,Airports
