,AIRLINE,ARRIVAL_DELAY
727,WN,-4.0
728,WN,3.0
729,WN,-20.0
730,WN,-24.0
731,WN,-8.0
732,AA,1.0
733,AA,-33.0
734,AA,-22.0
735,AA,2.0
736,B6,-9.0
737,DL,-10.0
738,DL,-12.0
739,B6,-8.0
740,B6,-22.0
741,DL,-41.0
742,DL,-7.0
743,EV,-13.0
744,F9,3.0
745,MQ,-19.0
746,MQ,35.0
747,UA,-5.0
748,UA,-5.0
749,US,-15.0
750,UA,-7.0
751,AA,-20.0
752,B6,-24.0
753,B6,-23.0
754,DL,-31.0
755,OO,-11.0
756,UA,1.0
757,UA,-17.0
758,UA,-19.0
759,US,-20.0
760,US,-24.0
761,US,-7.0
762,US,-9.0
763,US,-17.0
764,US,2.0
765,UA,-5.0
766,UA,-16.0
767,UA,13.0
768,UA,-12.0
769,UA,7.0
770,UA,-17.0
771,VX,2.0
772,VX,-6.0
773,WN,-3.0
774,WN,-11.0
775,WN,-14.0
776,WN,7.0
777,WN,12.0
778,WN,-2.0
779,WN,-4.0
780,WN,-14.0
781,WN,-23.0
782,WN,-22.0
783,WN,-16.0
784,WN,-6.0
785,UA,306.0
786,UA,13.0
787,US,-5.0
788,US,-11.0
789,US,1.0
790,US,2.0
791,US,5.0
792,AA,6.0
793,AA,-10.0
794,AA,-49.0
795,AA,-4.0
796,AA,10.0
797,AA,6.0
798,AA,4.0
799,AA,-2.0
800,AA,45.0
801,AA,5.0
802,AA,-6.0
803,AA,112.0
804,AA,-11.0
805,AA,-9.0
806,AA,-15.0
807,AA,-10.0
808,AA,24.0
809,AA,-25.0
810,AA,-20.0
811,AS,4.0
812,AS,-14.0
813,AS,-15.0
814,AS,-19.0
815,AS,-8.0
816,AS,-5.0
817,AS,9.0
818,AS,-15.0
819,AS,-6.0
820,AS,-20.0
821,AS,120.0
822,AS,-7.0
823,AS,-20.0
824,AS,5.0
825,AS,-17.0
826,AS,24.0
827,AS,-18.0
828,B6,-34.0
829,B6,-37.0
830,B6,-7.0
831,B6,-21.0
832,B6,131.0
833,B6,-20.0
834,B6,-10.0
835,B6,-6.0
836,B6,-23.0
837,DL,-4.0
838,DL,-28.0
839,DL,-10.0
840,DL,-23.0
841,DL,-5.0
842,DL,-21.0
843,DL,4.0
844,DL,-14.0
845,DL,-3.0
846,DL,-6.0
847,DL,-17.0
848,AA,-20.0
849,DL,-18.0
850,DL,-31.0
851,DL,-17.0
852,DL,-2.0
853,DL,-33.0
854,DL,13.0
855,DL,-11.0
856,DL,-8.0
857,B6,21.0
858,DL,-17.0
859,DL,-11.0
860,DL,-22.0
861,DL,-35.0
862,DL,-26.0
863,DL,-20.0
864,AA,117.0
865,EV,-11.0
866,EV,12.0
867,EV,6.0
868,EV,-26.0
869,EV,-9.0
870,EV,3.0
871,F9,10.0
872,F9,-17.0
873,F9,58.0
874,F9,-1.0
875,MQ,10.0
876,MQ,-22.0
877,NK,17.0
878,NK,-12.0
879,NK,-2.0
880,NK,29.0
881,NK,16.0
882,NK,10.0
883,OO,-1.0
884,OO,-1.0
885,OO,30.0
886,HA,-1.0
887,OO,7.0
888,OO,1.0
889,OO,8.0
890,OO,-41.0
891,OO,-8.0
892,UA,-2.0
893,UA,58.0
894,UA,-1.0
895,UA,-28.0
896,EV,1.0
897,EV,2.0
898,NK,8.0
899,OO,27.0
900,UA,-12.0
901,VX,-12.0
902,WN,-14.0
903,WN,-12.0
904,WN,-10.0
905,WN,-30.0
906,WN,-9.0
907,WN,3.0
908,WN,-26.0
909,WN,8.0
910,WN,30.0
911,WN,-18.0
912,WN,-9.0
913,UA,-51.0
914,US,23.0
915,US,1.0
916,US,23.0
917,AA,-15.0
918,AA,-9.0
919,AA,10.0
920,AA,22.0
921,AA,-8.0
922,AA,-7.0
923,AA,-10.0
924,AA,26.0
925,AA,-14.0
926,B6,-12.0
927,B6,-12.0
928,B6,-8.0
929,DL,-21.0
930,DL,-22.0
931,DL,-32.0
932,DL,-22.0
933,DL,-28.0
934,DL,-16.0
935,DL,-6.0
936,DL,-32.0
937,DL,-24.0
938,EV,21.0
939,MQ,-20.0
940,OO,-20.0
941,OO,-18.0
942,OO,-8.0
943,B6,-6.0
944,HA,111.0
945,B6,4.0
946,EV,8.0
947,B6,29.0
948,HA,-6.0
949,UA,-7.0
950,UA,56.0
951,UA,-2.0
952,US,-4.0
953,WN,-25.0
954,WN,-27.0
955,WN,-3.0
956,WN,-29.0
957,WN,-15.0
958,WN,-7.0
959,WN,22.0
960,UA,25.0
961,US,-2.0
962,US,-17.0
963,AA,-3.0
964,AA,-3.0
965,AA,-1.0
966,AS,-8.0
967,AS,-8.0
968,DL,-26.0
969,DL,-18.0
970,DL,-3.0
971,B6,-19.0
972,DL,-38.0
973,EV,-3.0
974,F9,14.0
975,MQ,-25.0
976,MQ,-10.0
977,NK,5.0
978,OO,30.0
979,DL,-8.0
980,EV,-2.0
981,B6,-7.0
982,NK,19.0
983,AA,2.0
984,DL,-18.0
985,HA,2.0
986,B6,-34.0
987,UA,-29.0
988,UA,-28.0
989,US,-9.0
990,US,11.0
991,UA,-27.0
992,UA,32.0
993,WN,-7.0
994,WN,-16.0
995,WN,-6.0
996,WN,-18.0
997,WN,-16.0
998,WN,-8.0
999,WN,-8.0
1000,WN,-23.0
1001,WN,-23.0
1002,WN,-8.0
1003,UA,-3.0
1004,UA,-1.0
1005,AA,-3.0
1006,AA,21.0
1007,AA,-19.0
1008,AA,-5.0
1009,AA,-1.0
1010,AA,72.0
1011,AA,31.0
1012,AA,0.0
1013,AA,-15.0
1014,AA,2.0
1015,AA,-12.0
1016,AS,-6.0
1017,B6,7.0
1018,B6,-1.0
1019,B6,-16.0
1020,B6,-27.0
1021,DL,-13.0
1022,DL,2.0
1023,DL,41.0
1024,DL,71.0
1025,DL,-15.0
1026,DL,-29.0
1027,DL,-27.0
1028,DL,-18.0
1029,EV,-9.0
1030,EV,-17.0
1031,EV,133.0
1032,F9,-14.0
1033,F9,-12.0
1034,MQ,-8.0
1035,MQ,33.0
1036,NK,-13.0
1037,OO,11.0
1038,OO,-4.0
1039,OO,3.0
1040,OO,14.0
1041,UA,-26.0
1042,OO,-13.0
1043,B6,12.0
1044,DL,-8.0
1045,EV,-10.0
1046,UA,0.0
1047,B6,-27.0
1048,HA,0.0
1049,NK,16.0
1050,OO,80.0
1051,UA,-21.0
1052,UA,-13.0
1053,UA,0.0
1054,WN,-19.0
1055,WN,0.0
1056,WN,-12.0
1057,WN,-6.0
1058,WN,-25.0
1059,WN,-3.0
1060,WN,7.0
1061,WN,-15.0
1062,UA,-27.0
1063,US,-12.0
1064,AA,-14.0
1065,AA,17.0
1066,AA,-18.0
1067,AA,1.0
1068,AA,-2.0
1069,AA,9.0
1070,AA,-3.0
1071,AA,0.0
1072,AA,-14.0
1073,AS,-11.0
1074,AS,26.0
1075,AS,-18.0
1076,AS,29.0
1077,B6,-23.0
1078,DL,-25.0
1079,DL,-24.0
1080,DL,-6.0
1081,DL,-26.0
1082,DL,-24.0
1083,EV,-23.0
1084,EV,-12.0
1085,EV,-30.0
1086,EV,-13.0
1087,MQ,-25.0
1088,MQ,-5.0
1089,NK,4.0
1090,OO,16.0
1091,OO,21.0
1092,EV,-8.0
1093,EV,-15.0
1094,HA,-6.0
1095,UA,-13.0
1096,AS,8.0
1097,UA,4.0
1098,UA,-13.0
1099,UA,-9.0
1100,UA,5.0
1101,UA,-3.0
1102,US,-11.0
1103,WN,-4.0
1104,WN,-15.0
1105,WN,-11.0
1106,WN,-6.0
1107,WN,-16.0
1108,WN,-8.0
1109,WN,-12.0
1110,UA,-29.0
1111,US,-4.0
1112,US,12.0
1113,AA,-2.0
1114,AA,17.0
1115,AA,22.0
1116,AA,-7.0
1117,AA,0.0
1118,AA,10.0
1119,AS,-25.0
1120,AS,14.0
1121,AS,6.0
1122,B6,-13.0
1123,DL,9.0
1124,DL,-24.0
1125,DL,-1.0
1126,EV,62.0
1127,EV,-13.0
1128,F9,-9.0
1129,MQ,-27.0
1130,MQ,-18.0
1131,NK,-4.0
1132,NK,-12.0
1133,OO,23.0
1134,OO,16.0
1135,OO,-4.0
1136,OO,15.0
1137,UA,-10.0
1138,HA,11.0
