ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT_ORIGIN,AVERAGE_DEPARTURE_DELAY,parents_origin,parents,TOTAL_FLIGHTS,ids2,DESTINATION_AIRPORT,FLIGHT_COUNT_DESTINATION,AVERAGE_ARRIVAL_DELAY,parents_destination
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1224,STT,933,-2.307609860664523,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1230,STX,37,2.4864864864864864,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1238,SYR,1144,0.6005244755244755,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1243,TLH,1235,-0.8550607287449393,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1250,TPA,10324,1.8891902363425028,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1257,TRI,476,-2.258403361344538,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1261,TUL,1037,-3.880424300867888,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1269,TUS,793,-4.069356872635561,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1275,TVC,425,-2.967058823529412,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1284,TYS,931,-1.77765843179377,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1292,VPS,1750,0.7937142857142857,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1299,XNA,538,-0.104089219330855,Airports
63,ATW,DL,443,3.6930022573363432,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
69,AUS,DL,3431,8.524336928009326,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
77,AVL,DL,637,9.392464678178964,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
80,AVP,DL,123,8.926829268292684,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
87,BDL,DL,4039,4.192374350086655,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
98,BGR,DL,189,3.4603174603174605,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
101,BHM,DL,3033,6.373227827233762,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
106,BIL,DL,981,-0.0479102956167176,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
110,BIS,DL,277,-1.415162454873646,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
123,BNA,DL,4628,7.311581676750216,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
132,BOI,DL,1049,2.183031458531936,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
140,BOS,DL,13897,11.99064546304958,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
160,BTR,DL,314,9.337579617834397,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
166,BTV,DL,89,1.5730337078651686,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
171,BUF,DL,2376,5.324074074074074,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
185,BWI,DL,6465,8.701005413766435,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
193,BZN,DL,1078,4.924860853432282,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
197,CAE,DL,1010,4.527722772277228,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
201,CAK,DL,1334,5.813343328335832,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
208,CHA,DL,774,5.332041343669251,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
212,CHO,DL,320,1.028125,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
219,CHS,DL,3581,5.02904216699246,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
234,CLE,DL,2273,4.304443466783986,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
247,CLT,DL,5974,6.295614328757951,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
256,CMH,DL,3026,5.854923992068738,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
268,COS,DL,305,7.527868852459016,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
277,CRW,DL,314,6.273885350318471,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
282,CVG,DL,5791,4.871697461578311,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
291,DAB,DL,1479,5.295469912102772,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
294,DAL,DL,1415,6.662190812720848,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
300,DAY,DL,1306,7.053598774885145,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
309,DCA,DL,8495,9.26745144202472,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
321,DEN,DL,7031,8.17664628075665,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
332,DFW,DL,5061,9.673384706579728,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
344,DLH,DL,199,6.251256281407035,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
350,DSM,DL,928,8.451508620689655,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
361,DTW,DL,50297,8.120862079249259,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
372,ECP,DL,1876,6.97228144989339,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
376,EGE,DL,101,11.94059405940594,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
381,ELP,DL,695,6.870503597122302,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
389,EVV,DL,354,6.014124293785311,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
397,EWR,DL,4942,10.621813031161471,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
405,EYW,DL,983,4.90233977619532,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
409,FAI,DL,230,10.743478260869566,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
411,FAR,DL,712,4.686797752808989,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
419,FAY,DL,470,6.506382978723404,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
421,FCA,DL,291,2.206185567010309,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
427,FLL,DL,10473,7.154301537286355,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
434,FNT,DL,924,3.103896103896104,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
439,FSD,DL,425,2.2494117647058824,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
455,GEG,DL,1440,6.653472222222222,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
467,GNV,DL,271,3.730627306273063,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
470,GPT,DL,1127,3.890860692102928,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
473,GRB,DL,616,2.139610389610389,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
480,GRR,DL,2818,3.97374024130589,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
487,GSO,DL,1890,5.386772486772487,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
493,GSP,DL,1672,5.816985645933015,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
508,HDN,DL,95,12.589473684210526,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
516,HNL,DL,2750,8.078545454545454,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
524,HOU,DL,1692,6.4763593380614655,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
534,HSV,DL,1757,5.575412635173591,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
542,IAD,DL,2351,7.697575499787325,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
552,IAH,DL,2913,9.477171301064194,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
561,ICT,DL,853,6.150058616647128,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
571,ILM,DL,346,6.523121387283237,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
577,IND,DL,4383,7.152407027150353,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
594,JAC,DL,767,2.1421121251629724,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
597,JAN,DL,1893,4.9260433174854725,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
602,JAX,DL,4216,6.413899430740038,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
612,JFK,DL,25037,13.173383392578984,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
622,JNU,DL,139,8.726618705035971,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
626,KOA,DL,345,13.747826086956522,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
632,LAN,DL,4,-3.25,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
639,LAS,DL,10571,5.9819316999337815,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
653,LAX,DL,25068,10.377373543960427,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
671,LEX,DL,990,2.611111111111111,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
675,LFT,DL,338,8.04733727810651,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
681,LGA,DL,23745,14.639882080437989,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
695,LIH,DL,332,13.123493975903614,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
700,LIT,DL,1918,5.054744525547445,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
720,MCI,DL,5055,5.742631058358062,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
732,MCO,DL,15290,8.578744277305429,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
741,MDT,DL,920,6.978260869565218,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
748,MDW,DL,2499,8.0828331332533,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
755,MEM,DL,4060,6.3399014778325125,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
773,MHT,DL,442,2.264705882352941,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
777,MIA,DL,8400,10.89440476190476,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
