Unnamed: 0,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ORIGIN_AIRPORT_LAT,ORIGIN_AIRPORT_LON,DESTINATION_AIRPORT_LAT,DESTINATION_AIRPORT_LON
228,AS,FAI,ANC,64.81368,-147.85967,61.17432,-149.99618999999998
229,AS,SEA,SJC,47.44898,-122.30931,37.36186,-121.92901
230,AS,SEA,OAK,47.44898,-122.30931,37.72129,-122.22072
231,AS,PDX,SJC,45.58872,-122.5975,37.36186,-121.92901
232,AS,LAX,SEA,33.94254,-118.40807,47.44898,-122.30931
233,AS,PHX,SEA,33.43417,-112.00806,47.44898,-122.30931
234,AS,DEN,SEA,39.85841,-104.667,47.44898,-122.30931
236,B6,RSW,JFK,26.53617,-81.75516999999999,40.63975,-73.77893
237,B6,PBI,JFK,26.68316,-80.09559,40.63975,-73.77893
238,B6,JFK,PBI,40.63975,-73.77893,26.68316,-80.09559
239,B6,TPA,JFK,27.97547,-82.53325,40.63975,-73.77893
240,B6,FLL,LGA,26.07258,-80.15275,40.77724,-73.87261
241,B6,OAK,LGB,37.72129,-122.22072,33.81772,-118.15161
242,B6,LGA,FLL,40.77724,-73.87261,26.07258,-80.15275
243,B6,JFK,MCO,40.63975,-73.77893,28.428890000000003,-81.31603
244,B6,EWR,FLL,40.6925,-74.16866,26.07258,-80.15275
245,B6,JFK,TPA,40.63975,-73.77893,27.97547,-82.53325
246,B6,PSE,JFK,18.0083,-66.56300999999999,40.63975,-73.77893
247,B6,MSY,JFK,29.99339,-90.25803,40.63975,-73.77893
248,B6,AUS,JFK,30.19453,-97.66987,40.63975,-73.77893
249,B6,BQN,JFK,18.49486,-67.12944,40.63975,-73.77893
250,B6,TPA,BOS,27.97547,-82.53325,42.36435,-71.00518000000001
251,B6,JAX,JFK,30.49406,-81.68786,40.63975,-73.77893
252,B6,DCA,BOS,38.85208,-77.03772,42.36435,-71.00518000000001
253,DL,JFK,ATL,40.63975,-73.77893,33.640440000000005,-84.42694
254,DL,LGA,DTW,40.77724,-73.87261,42.21206,-83.34884
255,DL,RNO,SLC,39.49858,-119.76806,40.78839,-111.97777
257,DL,BOS,MSP,42.36435,-71.00518000000001,44.88055,-93.21692
258,DL,LGA,ATL,40.77724,-73.87261,33.640440000000005,-84.42694
259,DL,ORD,ATL,41.9796,-87.90446,33.640440000000005,-84.42694
260,DL,ANC,MSP,61.17432,-149.99618999999998,44.88055,-93.21692
261,DL,ATW,ATL,44.25741,-88.51948,33.640440000000005,-84.42694
262,DL,PHX,ATL,33.43417,-112.00806,33.640440000000005,-84.42694
263,DL,PNS,ATL,30.47331,-87.18744000000001,33.640440000000005,-84.42694
264,DL,MCO,SLC,28.428890000000003,-81.31603,40.78839,-111.97777
266,AA,DCA,MIA,38.85208,-77.03772,25.79325,-80.29056
267,DL,RIC,ATL,37.50517,-77.31967,33.640440000000005,-84.42694
268,DL,LAX,ATL,33.94254,-118.40807,33.640440000000005,-84.42694
269,DL,BOS,ATL,42.36435,-71.00518000000001,33.640440000000005,-84.42694
270,DL,LAS,DTW,36.08036,-115.15233,42.21206,-83.34884
271,DL,OKC,ATL,35.39309,-97.60073,33.640440000000005,-84.42694
272,DL,MCO,MSP,28.428890000000003,-81.31603,44.88055,-93.21692
273,DL,MEM,ATL,35.04242,-89.97667,33.640440000000005,-84.42694
274,DL,TUL,ATL,36.19837,-95.88824,33.640440000000005,-84.42694
275,DL,BWI,DTW,39.1754,-76.6682,42.21206,-83.34884
276,B6,BOS,PHL,42.36435,-71.00518000000001,39.87195,-75.24114
277,B6,MCO,LGA,28.428890000000003,-81.31603,40.77724,-73.87261
278,B6,FLL,JFK,26.07258,-80.15275,40.63975,-73.77893
280,B6,BOS,DCA,42.36435,-71.00518000000001,38.85208,-77.03772
281,EV,TYS,DFW,35.812490000000004,-83.99286,32.89595,-97.0372
282,EV,MHT,ORD,42.93452,-71.43706,41.9796,-87.90446
283,EV,SAV,EWR,32.12758,-81.20214,40.6925,-74.16866
284,EV,MEM,EWR,35.04242,-89.97667,40.6925,-74.16866
285,EV,CLT,ORD,35.214009999999995,-80.94313000000001,41.9796,-87.90446
286,EV,TYS,IAD,35.812490000000004,-83.99286,38.94453,-77.45581
287,EV,GRB,ORD,44.48507,-88.12959000000001,41.9796,-87.90446
288,EV,ABE,DTW,40.65236,-75.4404,42.21206,-83.34884
289,EV,JAN,ATL,32.311170000000004,-90.07589,33.640440000000005,-84.42694
290,EV,OAJ,ATL,34.829159999999995,-77.61214,33.640440000000005,-84.42694
291,EV,FAR,ORD,46.91935,-96.81499,41.9796,-87.90446
292,EV,JAN,ORD,32.311170000000004,-90.07589,41.9796,-87.90446
293,EV,ERI,ORD,42.08202,-80.17622,41.9796,-87.90446
294,EV,ATW,ORD,44.25741,-88.51948,41.9796,-87.90446
295,EV,LEX,ORD,38.03697,-84.60539,41.9796,-87.90446
296,EV,CWA,ORD,44.77762,-89.66678,41.9796,-87.90446
299,F9,CLE,FLL,41.41089,-81.8494,26.07258,-80.15275
300,F9,IAH,SFO,29.98047,-95.33972,37.619,-122.37484
303,F9,TTN,ATL,40.27669,-74.81347,33.640440000000005,-84.42694
304,F9,ATL,TTN,33.640440000000005,-84.42694,40.27669,-74.81347
315,MQ,RDU,JFK,35.87764,-78.78747,40.63975,-73.77893
316,MQ,CVG,MIA,39.04614,-84.66216999999999,25.79325,-80.29056
320,MQ,PNS,MIA,30.47331,-87.18744000000001,25.79325,-80.29056
321,MQ,BHM,MIA,33.562940000000005,-86.75355,25.79325,-80.29056
325,NK,OAK,LAS,37.72129,-122.22072,36.08036,-115.15233
326,NK,DFW,OAK,32.89595,-97.0372,37.72129,-122.22072
327,NK,ACY,RSW,39.45758,-74.57717,26.53617,-81.75516999999999
328,NK,DTW,LGA,42.21206,-83.34884,40.77724,-73.87261
329,NK,DFW,FLL,32.89595,-97.0372,26.07258,-80.15275
330,OO,SMF,LAX,38.69542,-121.59077,33.94254,-118.40807
331,OO,RAP,DEN,44.04532,-103.05737,39.85841,-104.667
332,OO,TUS,SFO,32.11608,-110.94103,37.619,-122.37484
333,OO,EAU,ORD,44.86526,-91.48507,41.9796,-87.90446
334,OO,DLH,ORD,46.84209,-92.19365,41.9796,-87.90446
335,OO,FSD,ORD,43.58135,-96.7417,41.9796,-87.90446
336,OO,AUS,SFO,30.19453,-97.66987,37.619,-122.37484
337,OO,FAT,SEA,36.77619,-119.71814,47.44898,-122.30931
338,OO,ONT,PDX,34.056,-117.60119,45.58872,-122.5975
339,OO,INL,BRD,48.56619,-93.40307,46.39786,-94.13723
342,OO,BOI,LAX,43.564440000000005,-116.22278,33.94254,-118.40807
343,OO,SPI,ORD,39.84395,-89.67761999999999,41.9796,-87.90446
344,OO,CLD,LAX,33.12723,-117.27873,33.94254,-118.40807
345,OO,COD,DEN,44.52019,-109.0238,39.85841,-104.667
346,OO,FAT,SFO,36.77619,-119.71814,37.619,-122.37484
347,MQ,CMH,MIA,39.99799,-82.89188,25.79325,-80.29056
349,OO,PSC,DEN,46.26468,-119.11903,39.85841,-104.667
350,OO,CPR,DEN,42.90836,-106.46447,39.85841,-104.667
