ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT_ORIGIN,AVERAGE_DEPARTURE_DELAY,parents,parents2,TOTAL_FLIGHTS
722,MCI,F9,344,14.892441860465116,Airports,Airlines,82005
723,MCI,MQ,111,15.216216216216216,Airports,Airlines,257130
724,MCI,NK,1399,16.800571837026446,Airports,Airlines,105059
725,MCI,OO,1556,11.223650385604111,Airports,Airlines,530182
726,MCI,UA,588,12.185374149659864,Airports,Airlines,462086
727,MCI,US,1193,2.9488683989941324,Airports,Airlines,194223
728,MCI,WN,20506,8.735053155174095,Airports,Airlines,1138350
729,MCO,AA,12892,10.785758609990692,Airports,Airlines,636554
730,MCO,AS,648,7.419753086419753,Airports,Airlines,157025
731,MCO,B6,17712,15.613595302619691,Airports,Airlines,240304
732,MCO,DL,15290,8.578744277305429,Airports,Airlines,794817
733,MCO,EV,86,17.302325581395348,Airports,Airlines,509621
734,MCO,F9,4907,19.09374363154677,Airports,Airlines,82005
735,MCO,NK,4497,14.918167667333778,Airports,Airlines,105059
736,MCO,UA,11124,14.634843581445525,Airports,Airlines,462086
737,MCO,US,4617,4.7669482347844925,Airports,Airlines,194223
738,MCO,VX,333,11.84084084084084,Airports,Airlines,55813
739,MCO,WN,37426,10.934537487308289,Airports,Airlines,1138350
740,MDT,AA,48,-1.7916666666666667,Airports,Airlines,636554
741,MDT,DL,920,6.978260869565218,Airports,Airlines,794817
742,MDT,EV,753,7.219123505976095,Airports,Airlines,509621
743,MDT,F9,87,9.839080459770114,Airports,Airlines,82005
744,MDT,MQ,787,11.10546378653113,Airports,Airlines,257130
745,MDT,OO,15,17.866666666666667,Airports,Airlines,530182
746,MDT,UA,525,8.325714285714286,Airports,Airlines,462086
747,MDT,US,75,8.013333333333334,Airports,Airlines,194223
748,MDW,DL,2499,8.0828331332533,Airports,Airlines,794817
749,MDW,EV,1572,13.192748091603054,Airports,Airlines,509621
750,MDW,F9,50,29.22,Airports,Airlines,82005
751,MDW,OO,350,9.402857142857142,Airports,Airlines,530182
752,MDW,WN,74214,12.91973212601396,Airports,Airlines,1138350
753,MEI,EV,888,7.617117117117117,Airports,Airlines,509621
754,MEM,AA,977,11.316274309109518,Airports,Airlines,636554
755,MEM,DL,4060,6.3399014778325125,Airports,Airlines,794817
756,MEM,EV,3356,9.865315852205006,Airports,Airlines,509621
757,MEM,F9,363,9.03305785123967,Airports,Airlines,82005
758,MEM,MQ,1248,10.58573717948718,Airports,Airlines,257130
759,MEM,OO,1071,10.606909430438842,Airports,Airlines,530182
760,MEM,UA,107,21.14018691588785,Airports,Airlines,462086
761,MEM,US,429,2.536130536130536,Airports,Airlines,194223
762,MEM,WN,2770,9.324548736462091,Airports,Airlines,1138350
763,MFE,AA,1401,9.265524625267666,Airports,Airlines,636554
764,MFE,EV,1225,1.460408163265306,Airports,Airlines,509621
765,MFE,OO,404,12.465346534653465,Airports,Airlines,530182
766,MFE,UA,264,12.071969696969695,Airports,Airlines,462086
767,MFR,OO,2430,7.54238683127572,Airports,Airlines,530182
768,MGM,EV,2270,9.263436123348018,Airports,Airlines,509621
769,MGM,MQ,822,6.041362530413625,Airports,Airlines,257130
770,MGM,OO,15,4.266666666666667,Airports,Airlines,530182
771,MHK,EV,65,8.353846153846154,Airports,Airlines,509621
772,MHK,MQ,1497,3.839011356045424,Airports,Airlines,257130
773,MHT,DL,442,2.264705882352941,Airports,Airlines,794817
774,MHT,EV,1520,10.066447368421052,Airports,Airlines,509621
775,MHT,WN,4153,6.561281001685528,Airports,Airlines,1138350
776,MIA,AA,47663,12.946814090594382,Airports,Airlines,636554
777,MIA,DL,8400,10.89440476190476,Airports,Airlines,794817
778,MIA,F9,2009,20.39671478347437,Airports,Airlines,82005
779,MIA,MQ,5194,7.884482094724682,Airports,Airlines,257130
780,MIA,OO,179,12.35195530726257,Airports,Airlines,530182
781,MIA,UA,3102,13.81270148291425,Airports,Airlines,462086
782,MIA,US,1754,6.989167616875712,Airports,Airlines,194223
783,MKE,AA,1211,9.011560693641618,Airports,Airlines,636554
784,MKE,DL,4635,5.7201725997842505,Airports,Airlines,794817
785,MKE,EV,2560,6.31640625,Airports,Airlines,509621
786,MKE,F9,601,9.801996672212978,Airports,Airlines,82005
787,MKE,MQ,41,13.53658536585366,Airports,Airlines,257130
788,MKE,OO,7085,9.055187014820042,Airports,Airlines,530182
789,MKE,US,346,1.8583815028901731,Airports,Airlines,194223
790,MKE,WN,12693,7.815882770030726,Airports,Airlines,1138350
791,MKG,OO,618,8.555016181229773,Airports,Airlines,530182
792,MLB,DL,1254,8.227272727272727,Airports,Airlines,794817
793,MLB,EV,68,19.602941176470587,Airports,Airlines,509621
794,MLI,EV,1468,11.483651226158038,Airports,Airlines,509621
795,MLI,MQ,1675,7.258507462686567,Airports,Airlines,257130
796,MLI,OO,476,6.086134453781512,Airports,Airlines,530182
797,MLU,EV,2829,7.5585012371862845,Airports,Airlines,509621
798,MLU,MQ,43,17.976744186046513,Airports,Airlines,257130
799,MLU,OO,4,-3.5,Airports,Airlines,530182
800,MMH,OO,140,9.92142857142857,Airports,Airlines,530182
801,MOB,DL,454,5.140969162995595,Airports,Airlines,794817
802,MOB,EV,3547,6.58528333803214,Airports,Airlines,509621
803,MOB,MQ,839,9.842669845053637,Airports,Airlines,257130
804,MOB,OO,65,9.615384615384617,Airports,Airlines,530182
805,MOT,DL,4,-5.75,Airports,Airlines,794817
806,MOT,EV,186,3.521505376344086,Airports,Airlines,509621
807,MOT,F9,3,4.0,Airports,Airlines,82005
808,MOT,OO,1627,5.114320835894284,Airports,Airlines,530182
809,MQT,MQ,278,7.866906474820144,Airports,Airlines,257130
810,MQT,OO,18,28.666666666666668,Airports,Airlines,530182
811,MRY,OO,2836,7.354372355430184,Airports,Airlines,530182
812,MSN,DL,2519,2.7121873759428343,Airports,Airlines,794817
813,MSN,EV,1943,6.797735460627895,Airports,Airlines,509621
814,MSN,F9,212,6.514150943396227,Airports,Airlines,82005
815,MSN,MQ,2239,6.405091558731576,Airports,Airlines,257130
816,MSN,OO,1411,5.404677533664068,Airports,Airlines,530182
817,MSN,UA,506,9.920948616600793,Airports,Airlines,462086
818,MSO,DL,597,1.3986599664991626,Airports,Airlines,794817
819,MSO,F9,89,2.393258426966292,Airports,Airlines,82005
820,MSO,OO,1367,1.7980980248719824,Airports,Airlines,530182
821,MSP,AA,5389,8.066617183150862,Airports,Airlines,636554
822,MSP,AS,585,1.1247863247863248,Airports,Airlines,157025
823,MSP,DL,55741,5.64184352630918,Airports,Airlines,794817
824,MSP,EV,6648,14.07641395908544,Airports,Airlines,509621
825,MSP,F9,1503,12.985362608117098,Airports,Airlines,82005
826,MSP,MQ,167,22.46706586826347,Airports,Airlines,257130
827,MSP,NK,3402,20.22898295120517,Airports,Airlines,105059
828,MSP,OO,25255,5.594575331617501,Airports,Airlines,530182
829,MSP,UA,3157,14.101045296167248,Airports,Airlines,462086
830,MSP,US,2053,4.231855820750122,Airports,Airlines,194223
831,MSP,WN,7155,8.586722571628233,Airports,Airlines,1138350
832,MSY,AA,3723,5.896051571313457,Airports,Airlines,636554
833,MSY,AS,331,0.9486404833836858,Airports,Airlines,157025
834,MSY,B6,1104,15.14945652173913,Airports,Airlines,240304
835,MSY,DL,6907,7.782829014043724,Airports,Airlines,794817
836,MSY,EV,614,5.254071661237785,Airports,Airlines,509621
837,MSY,F9,554,18.362815884476536,Airports,Airlines,82005
838,MSY,MQ,30,7.2,Airports,Airlines,257130
839,MSY,NK,1678,15.757449344457688,Airports,Airlines,105059
840,MSY,OO,561,8.795008912655971,Airports,Airlines,530182
841,MSY,UA,4452,10.706648697214735,Airports,Airlines,462086
842,MSY,US,1082,5.905730129390019,Airports,Airlines,194223
843,MSY,WN,17256,8.08350718590635,Airports,Airlines,1138350
844,MTJ,AA,28,16.321428571428573,Airports,Airlines,636554
845,MTJ,DL,35,26.285714285714285,Airports,Airlines,794817
846,MTJ,EV,148,-6.006756756756757,Airports,Airlines,509621
847,MTJ,MQ,62,1.9838709677419355,Airports,Airlines,257130
848,MTJ,OO,621,5.040257648953301,Airports,Airlines,530182
849,MTJ,UA,72,14.958333333333334,Airports,Airlines,462086
850,MVY,B6,205,25.90731707317073,Airports,Airlines,240304
851,MYR,DL,851,3.129259694477086,Airports,Airlines,794817
852,MYR,EV,711,9.623066104078765,Airports,Airlines,509621
853,MYR,NK,3157,11.37598986379474,Airports,Airlines,105059
854,MYR,US,6,-0.1666666666666666,Airports,Airlines,194223
855,OAJ,EV,1118,10.28980322003578,Airports,Airlines,509621
856,OAK,AA,299,1.060200668896321,Airports,Airlines,636554
857,OAK,AS,2176,-1.7302389705882353,Airports,Airlines,157025
858,OAK,B6,1381,5.792903692976104,Airports,Airlines,240304
859,OAK,DL,917,2.3380588876772084,Airports,Airlines,794817
860,OAK,HA,762,3.015748031496063,Airports,Airlines,69815
861,OAK,NK,1582,9.651074589127688,Airports,Airlines,105059
862,OAK,OO,2209,7.729741964689905,Airports,Airlines,530182
863,OAK,US,295,8.552542372881357,Airports,Airlines,194223
864,OAK,WN,32048,11.020375686470295,Airports,Airlines,1138350
865,OGG,AA,1561,6.244074311338886,Airports,Airlines,636554
866,OGG,AS,2696,0.1650593471810089,Airports,Airlines,157025
867,OGG,DL,959,15.050052137643378,Airports,Airlines,794817
868,OGG,HA,12831,1.778894864001247,Airports,Airlines,69815
869,OGG,UA,2108,11.695920303605313,Airports,Airlines,462086
