AIRPORT,MEAN_DEPARTURE_DELAY,ORIGIN_LAT,ORIGIN_LON,MEAN_DESTINATION_DELAY,DESTINATION_LAT,DESTINATION_LON
MFR,0.1,42.37423,-122.87349999999999,8.555555555555555,42.37423,-122.87349999999999
MGM,6.4,32.30064,-86.39398,4.833333333333333,32.30064,-86.39398
MHK,6.25,39.14097,-96.67083,7.0,39.14097,-96.67083
MHT,6.153846153846154,42.934520000000006,-71.43706,0.1,42.93452,-71.43706
MIA,7.396396396396397,25.79325,-80.29056,1.7136363636363636,25.79325,-80.29056
MKE,7.794117647058823,42.94722,-87.89658,8.414285714285715,42.94722,-87.89658
MKG,0.1,43.16949,-86.23822,0.1,43.16949,-86.23822
MLB,0.1,28.10275,-80.64581,0.1,28.10275,-80.64581
MLI,15.0,41.44853,-90.50754,11.555555555555555,41.44853,-90.50754
MLU,16.833333333333332,32.510870000000004,-92.03769,15.333333333333334,32.510870000000004,-92.03769
MMH,0.1,37.62405,-118.83777,0.1,37.62405,-118.83777
MOB,11.181818181818182,30.691419999999997,-88.24283,3.4545454545454546,30.691419999999997,-88.24283
MOT,0.1,48.25938,-101.28033,3.75,48.25938,-101.28033
MQT,0.1,46.353640000000006,-87.39536,0.1,46.353640000000006,-87.39536
MRY,0.1,36.58698,-121.84295,0.1,36.58698,-121.84295
MSN,16.75,43.13986,-89.33751,5.277777777777778,43.13986,-89.33751
MSO,17.2,46.91631,-114.09056000000001,0.1,46.91631,-114.09056000000001
MSP,6.219730941704036,44.88055,-93.21692,3.1137440758293837,44.88054999999999,-93.21692
MSY,6.989010989010989,29.99339,-90.25803000000002,8.846153846153847,29.99339,-90.25803000000002
MTJ,0.1,38.50887,-107.89383000000001,6.8,38.50887,-107.89383000000001
MYR,0.1,33.67975,-78.92833,0.1,33.67975,-78.92833
OAJ,0.1,34.829159999999995,-77.61214,0.1,34.829159999999995,-77.61214
OAK,10.075268817204302,37.72129,-122.22071999999999,4.138297872340425,37.72129,-122.22072
OGG,3.9393939393939394,20.89865,-156.43046,7.515151515151516,20.89865,-156.43046
OKC,11.702702702702704,35.39309,-97.60073,18.512820512820515,35.39309,-97.60073
OMA,6.388888888888889,41.30252,-95.89417,12.390243902439025,41.30252,-95.89417
OME,0.1,64.5122,-165.44525,0.1,64.5122,-165.44525
ONT,12.55813953488372,34.056,-117.60119,10.282608695652174,34.056,-117.60119
ORD,11.17251461988304,41.9796,-87.90446,4.829123328380386,41.9796,-87.90446
ORF,0.1,36.89461,-76.20121999999999,0.1,36.89461,-76.20121999999999
ORH,1.5,42.26734,-71.87571,6.5,42.26734,-71.87571
OTZ,0.1,66.88468,-162.59855,0.1,66.88468,-162.59855
PAH,1.5,37.06083,-88.77375,0.1,37.06083,-88.77375
PBI,1.170731707317073,26.68316,-80.09559,0.1,26.683159999999997,-80.09559
PDX,1.2136752136752136,45.58872,-122.5975,1.815126050420168,45.58872,-122.5975
PHF,0.1,37.1319,-76.49299,0.1,37.1319,-76.49299
PHL,4.1879194630872485,39.87195,-75.24114,0.1,39.87195,-75.24114
