ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT,AVERAGE_DEPARTURE_DELAY,parents_origin
293,DAB,US,5,0.0,Airports
294,DAL,DL,1415,6.662190812720848,Airports
295,DAL,EV,518,5.301158301158301,Airports
296,DAL,OO,5,27.0,Airports
297,DAL,VX,4962,10.822450624748086,Airports
298,DAL,WN,51772,12.251371397666693,Airports
299,DAY,AA,904,5.332964601769912,Airports
300,DAY,DL,1306,7.053598774885145,Airports
301,DAY,EV,1713,8.952714535901926,Airports
302,DAY,MQ,1549,8.039380245319562,Airports
303,DAY,OO,1424,7.377808988764045,Airports
304,DAY,WN,1466,7.070259208731241,Airports
305,DBQ,MQ,869,4.855005753739931,Airports
306,DCA,AA,17431,7.754976765532672,Airports
307,DCA,AS,1321,0.9053747161241483,Airports
308,DCA,B6,9350,7.510909090909091,Airports
309,DCA,DL,8495,9.26745144202472,Airports
310,DCA,EV,2789,7.529939046253137,Airports
311,DCA,F9,982,6.067209775967413,Airports
312,DCA,MQ,643,21.472783825816485,Airports
313,DCA,OO,1453,12.247763248451479,Airports
314,DCA,UA,4504,13.248445825932505,Airports
315,DCA,US,9656,5.991507870753935,Airports
316,DCA,VX,1213,6.244023083264633,Airports
317,DCA,WN,13742,7.224567020812109,Airports
318,DEN,AA,6963,10.438891282493179,Airports
319,DEN,AS,1586,1.8203026481715006,Airports
320,DEN,B6,942,15.085987261146498,Airports
321,DEN,DL,7031,8.17664628075665,Airports
322,DEN,EV,5347,11.132784739106041,Airports
323,DEN,F9,21082,9.172279669860545,Airports
324,DEN,NK,3608,16.628325942350333,Airports
325,DEN,OO,43760,10.18274680073126,Airports
326,DEN,UA,45637,15.137892499506979,Airports
327,DEN,US,2301,4.974793568013907,Airports
328,DEN,WN,55145,12.072517907335207,Airports
329,DFW,AA,131159,11.3207176022995,Airports
330,DFW,AS,1338,2.279521674140508,Airports
331,DFW,B6,576,14.659722222222221,Airports
332,DFW,DL,5061,9.673384706579727,Airports
333,DFW,EV,23316,14.09551381025905,Airports
334,DFW,F9,1282,12.342433697347895,Airports
335,DFW,MQ,51049,10.320221747732571,Airports
336,DFW,NK,8379,13.578469984485022,Airports
337,DFW,OO,4024,14.362326043737575,Airports
338,DFW,UA,3448,14.33816705336427,Airports
339,DFW,US,3015,5.9893864013266995,Airports
340,DHN,EV,1243,7.762670957361223,Airports
341,DIK,EV,329,6.270516717325228,Airports
342,DIK,OO,589,-1.5568760611205432,Airports
343,DLG,AS,77,0.5584415584415584,Airports
344,DLH,DL,199,6.251256281407035,Airports
345,DLH,OO,1467,8.674846625766872,Airports
346,DRO,EV,83,4.614457831325301,Airports
347,DRO,MQ,781,10.441741357234315,Airports
348,DRO,OO,1155,3.811255411255411,Airports
349,DSM,AA,789,7.936628643852979,Airports
350,DSM,DL,928,8.451508620689655,Airports
351,DSM,EV,1211,12.071841453344344,Airports
352,DSM,F9,173,6.127167630057803,Airports
353,DSM,MQ,2022,11.475272007912958,Airports
354,DSM,OO,1336,10.511976047904191,Airports
355,DSM,UA,684,14.318713450292398,Airports
356,DSM,US,1,0.0,Airports
357,DSM,WN,957,6.698014629049112,Airports
358,DTW,AA,3974,7.606190236537493,Airports
359,DTW,AS,335,2.005970149253731,Airports
360,DTW,B6,1172,4.19283276450512,Airports
361,DTW,DL,50297,8.120862079249259,Airports
362,DTW,EV,22417,9.071686666369274,Airports
